trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
B20121216WKD_001150_A..S74R,00:59:00,00:59:00,A40S,30,,0,0,
B20121216WKD_014200_A..N09R,03:16:00,03:16:00,A40N,29,,0,0,
B20121216WKD_002950_A..S74R,01:18:30,01:18:30,A40S,30,,0,0,
B20121216WKD_016200_A..N09R,03:36:00,03:36:00,A40N,29,,0,0,
B20121216WKD_004950_A..S74R,01:38:30,01:38:30,A40S,30,,0,0,
B20121216WKD_018200_A..N09R,03:56:00,03:56:00,A40N,29,,0,0,
B20121216WKD_006950_A..S74R,01:58:30,01:58:30,A40S,30,,0,0,
B20121216WKD_020200_A..N09R,04:16:00,04:16:00,A40N,29,,0,0,
B20121216WKD_008950_A..S74R,02:18:30,02:18:30,A40S,30,,0,0,
B20121216WKD_022200_A..N09R,04:36:00,04:36:00,A40N,29,,0,0,
B20121216WKD_010950_A..S74R,02:38:30,02:38:30,A40S,30,,0,0,
B20121216WKD_024200_A..N09R,04:56:00,04:56:00,A40N,29,,0,0,
B20121216WKD_012950_A..S74R,02:58:30,02:58:30,A40S,30,,0,0,
B20121216WKD_026200_A..N09R,05:16:00,05:16:00,A40N,29,,0,0,
B20121216WKD_014950_A..S74R,03:18:30,03:18:30,A40S,30,,0,0,
B20121216WKD_027700_A..N09R,05:31:00,05:31:00,A40N,29,,0,0,
B20121216WKD_016950_A..S74R,03:38:30,03:38:30,A40S,30,,0,0,
B20121216WKD_029100_A..N09R,05:45:00,05:45:00,A40N,29,,0,0,
B20121216WKD_032400_A..N04R,05:57:00,05:57:00,A40N,23,,0,0,
B20121216WKD_018950_A..S74R,03:58:30,03:58:30,A40S,30,,0,0,
B20121216WKD_031400_A..N09R,06:08:00,06:08:00,A40N,29,,0,0,
B20121216WKD_034500_A..N54R,06:15:30,06:15:30,A40N,14,,0,0,
B20121216WKD_020950_A..S74R,04:18:30,04:18:30,A40S,30,,0,0,
B20121216WKD_033400_A..N55R,06:25:30,06:25:30,A40N,20,,0,0,
B20121216WKD_036650_A..N54R,06:35:30,06:35:30,A40N,14,,0,0,
B20121216WKD_022950_A..S74R,04:38:30,04:38:30,A40S,30,,0,0,
B20121216WKD_035350_A..N55R,06:44:00,06:44:00,A40N,20,,0,0,
B20121216WKD_038150_A..N54R,06:52:00,06:52:00,A40N,14,,0,0,
B20121216WKD_036550_A..N55R,06:58:00,06:58:00,A40N,20,,0,0,
B20121216WKD_039300_A..N54R,07:03:30,07:03:30,A40N,14,,0,0,
B20121216WKD_039950_A..N54R,07:10:00,07:10:00,A40N,14,,0,0,
B20121216WKD_024950_A..S74R,04:58:30,04:58:30,A40S,30,,0,0,
B20121216WKD_038300_A..N55R,07:16:00,07:16:00,A40N,20,,0,0,
B20121216WKD_041050_A..N54R,07:22:00,07:22:00,A40N,14,,0,0,
